temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
