temperature = 25.0, beta = 0.04, exact_temperature = 25.0, exact_beta = 0.04
temperature = 16.6666666667, beta = 0.06, exact_temperature = 16.6666666667, exact_beta = 0.06
temperature = 12.5, beta = 0.08, exact_temperature = 12.5, exact_beta = 0.08
temperature = 10.0, beta = 0.1, exact_temperature = 10.0, exact_beta = 0.1
temperature = 8.33333333333, beta = 0.12, exact_temperature = 8.33333333333, exact_beta = 0.12
temperature = 7.14285714286, beta = 0.14, exact_temperature = 7.14285714286, exact_beta = 0.14
temperature = 6.25, beta = 0.16, exact_temperature = 6.25, exact_beta = 0.16
temperature = 5.55555555556, beta = 0.18, exact_temperature = 5.55555555556, exact_beta = 0.18
temperature = 5.0, beta = 0.2, exact_temperature = 5.0, exact_beta = 0.2
temperature = 4.54545454545, beta = 0.22, exact_temperature = 4.54545454545, exact_beta = 0.22
temperature = 4.16666666667, beta = 0.24, exact_temperature = 4.16666666667, exact_beta = 0.24
temperature = 3.84615384615, beta = 0.26, exact_temperature = 3.84615384615, exact_beta = 0.26
temperature = 3.57142857143, beta = 0.28, exact_temperature = 3.57142857143, exact_beta = 0.28
temperature = 3.33333333333, beta = 0.3, exact_temperature = 3.33333333333, exact_beta = 0.3
temperature = 3.125, beta = 0.32, exact_temperature = 3.125, exact_beta = 0.32
temperature = 2.94117647059, beta = 0.34, exact_temperature = 2.94117647059, exact_beta = 0.34
temperature = 2.77777777778, beta = 0.36, exact_temperature = 2.77777777778, exact_beta = 0.36
temperature = 2.63157894737, beta = 0.38, exact_temperature = 2.63157894737, exact_beta = 0.38
temperature = 2.5, beta = 0.4, exact_temperature = 2.5, exact_beta = 0.4
